Date,PX_LAST,PX_VOLUME,HISTORICAL_MARKET_CAP,PX_TO_BOOK_RATIO,PROF_MARGIN,TRAIL_12M_PROF_MARGIN,RETURN_ON_ASSET,TOT_DEBT_TO_TOT_EQY,NET_DEBT_TO_SHRHLDR_EQTY,CUR_RATIO,DVD_PAYOUT_RATIO,IS_EPS,BOOK_VAL_PER_SH,EQY_DPS,ASSET_TURNOVER,RETENTION_RATIO,CURR_ENTP_VAL,EBITDA,NET_DEBT_TO_EBITDA,PX_TO_EBITDA,EBITDA_EV_YIELD,EARN_YLD_HIST,EBIT_YIELD,NET_OPER_PROFIT_AFTER_TAX,NET_INCOME,ARD_TOTAL_SHARE_CAPITAL,QUICK_RATIO,DEBT_TO_MKT_CAP,CASH_RATIO,PX_TO_SALES_RATIO,PE,Open,Close,High,Low,Volume,WilliamR,Momentum_14,RSI_14,CCI_20,ADX_14_14,MACD_26_12,KST_10_15_20_30_10_10_10_15,TSI_25_13,ACCDIST_14,Chaikin,MFI_14,EoM_14,COPP_14,KelChM_20,KelChU_20,KelChD_20
1/31/2007,163.85,12145996,49094.8166,4.8009,12.0247,12.0247,7.4742,107.7432,75.2133,1.8554,9.4678,5.845,34.1289,0.5,0.6216,90.5322,70846.3823,4580.4,2.0977,12.269,7.8024,3.5673,5.6558,2735.5813,2007.3,375.5,0.7727,0.2248,0.3799,3.3665,28.0325,161.5,163.85,165.0,157.25,1064794.0,-36.26865671641793,19.94999999999999,0.6412471524776009,55.000454463556316,0.31526385422020964,-2.857506742858561,5.032202527035262,0.12828025896233342,-7.208630331088351,271359.74384201475,0.6428571428571429,2.1168295529867272e-05,0.11652902845763526,155.72383333333332,163.42183333333338,148.0258333333334
2/28/2007,159.18,11958182,49094.8166,4.6639,12.0247,12.0247,7.4742,107.7432,75.2133,1.8554,9.4678,5.845,34.1289,0.5,0.6216,90.5322,69099.1768,4580.4,2.0977,11.9189,7.8024,3.6721,5.8219,2735.5813,2007.3,375.5,0.7727,0.2314,0.3799,3.2704,27.2335,159.0,159.18,162.5,144.0,1376002.0,-32.38307349665918,-6.169999999999988,0.16555912763296746,-146.55267418019957,0.4556866996371017,-0.6845688222639694,4.592390055569057,0.039803367938209364,-53.524064753144074,268939.74438159785,0.42857142857142855,-3.88800243518539e-05,0.008052013739544997,161.89883333333339,168.6233333333334,155.17433333333338
3/30/2007,162.32,14502688,60879.0394,4.0712,11.286,11.286,6.3877,141.4684,110.9135,1.713,8.6301,6.9631,39.8716,0.6,0.5660000000000001,91.3699,77355.0383,4992.7,3.3328,12.1788,6.4366,4.2896,5.4879999999999995,2816.5047,2608.4,375.0,0.6997,0.3498,0.312,2.6309,23.3115,164.0,162.32,166.0,160.5,2172176.0,-51.55737704918037,5.75,0.4823371152644013,55.13481309781761,0.2212982256340524,-1.4435869258463183,0.5366143773241484,0.06482679324480498,5.02541865723767,-235214.32621838804,0.6428571428571429,1.1478261045394832e-05,0.04963653172374649,157.9980000000001,166.4600000000001,149.53600000000006
4/30/2007,165.28,11390906,60879.0394,4.1452,11.286,11.286,6.3877,141.4684,110.9135,1.713,8.6301,6.9631,39.8716,0.6,0.5660000000000001,91.3699,78457.553,4992.7,3.3328,12.4002,6.4366,4.213,5.3901,2816.5047,2608.4,375.0,0.6997,0.3436,0.312,2.6787,23.7366,169.48,165.28,172.43,161.0,565216.0,-52.4102564102564,4.780000000000001,0.4325932442419853,7.662474098980083,0.21976776665347192,-2.0668205031610967,7.043512491990048,0.10737060526771468,-0.8409270077301901,-19894.60512157595,0.42857142857142855,8.997558475498864e-06,0.07922726701563547,165.6838333333334,172.81633333333343,158.5513333333334
5/31/2007,141.25,22211024,60879.0394,3.5426,11.286,11.286,6.3877,141.4684,110.9135,1.713,8.6301,6.9631,39.8716,0.6,0.5660000000000001,91.3699,69478.5986,4992.7,3.3328,10.5976,6.4366,4.9296,6.3068,2816.5047,2608.4,375.0,0.6997,0.402,0.312,2.2893,20.2855,144.43,141.25,145.2,138.57,1738940.0,-80.76094759511841,-7.8799999999999955,0.25159513933830663,-97.48799188856995,0.3324238468231788,4.28551526651745,-12.459655669648594,-0.2723387161140004,-0.4116730862202029,-27813.456534815195,0.42857142857142855,-1.5045914223452654e-06,-0.17126884827344838,146.82266666666672,153.6606666666668,139.98466666666678
6/29/2007,155.7,21412816,60879.0394,3.905,11.286,11.286,6.3877,141.4684,110.9135,1.713,8.6301,6.9631,39.8716,0.6,0.5660000000000001,91.3699,74884.3452,4992.7,3.3328,11.6818,6.4366,4.4721,5.7215,2816.5047,2608.4,375.0,0.6997,0.3647,0.312,2.5235,22.3607,152.45,155.7,156.0,150.57,698130.0,-13.226452905811675,20.169999999999987,0.8531067982349002,78.62405504010796,0.5908444363225371,-1.4425145936183412,2.6963337204239446,0.07834202717813997,0.8404210129493184,139641.54227745906,0.5,1.9155168705522516e-06,0.0876166083706931,146.4925000000001,152.79450000000014,140.19050000000007
7/31/2007,154.05,23247134,60879.0394,3.8637,11.286,11.286,6.3877,141.4684,110.9135,1.713,8.6301,6.9631,39.8716,0.6,0.5660000000000001,91.3699,74267.6283,4992.7,3.3328,11.558,6.4366,4.52,5.7828,2816.5047,2608.4,375.0,0.6997,0.3686,0.312,2.4968,22.1238,152.4,154.05,155.5,150.13,792922.0,-62.59259259259251,4.5,0.4290589374269238,-23.892541241816676,0.235302737678222,-1.070876608675519,5.3735268457107095,0.056723213473667135,-1.5434045848708864,148369.7101521091,0.5,-4.601594990611026e-06,0.03375308077426248,154.03116666666668,160.25416666666692,147.80816666666675
8/31/2007,165.98,13305806,60879.0394,4.1627,11.286,11.286,6.3877,141.4684,110.9135,1.713,8.6301,6.9631,39.8716,0.6,0.5660000000000001,91.3699,78724.8092,4992.7,3.3328,12.4527,6.4366,4.1953,5.3673,2816.5047,2608.4,375.0,0.6997,0.3421,0.312,2.6901,23.8371,160.05,165.98,168.45,160.0,765454.0,-21.616541353383464,2.75,0.3969866142633093,44.603850010785344,0.3527084772015379,-0.8303430350538861,1.8484133540348149,0.04164794959565009,0.010232665278220057,74175.2147362672,0.5714285714285714,-3.619781265523692e-05,-0.0038493417096298367,161.5978333333334,171.48433333333344,151.71133333333339
9/28/2007,198.65,28708276,60879.0394,4.9822,11.286,11.286,6.3877,141.4684,110.9135,1.713,8.6301,6.9631,39.8716,0.6,0.5660000000000001,91.3699,90937.7143,4992.7,3.3328,14.9042,6.4366,3.5052,4.4845,2816.5047,2608.4,375.0,0.6997,0.2858,0.312,3.2197,28.529,185.0,198.65,200.0,185.0,1958796.0,-14.349775784753316,29.349999999999994,0.4029758882352721,94.22646938144464,0.2789733285328771,-7.798701917912098,17.596414482765454,0.32207403149533675,-3.160318933535248,528623.4387848115,0.7142857142857143,5.602272319667129e-06,0.2706674085649446,179.4640000000001,190.8835000000002,168.04450000000003
10/31/2007,179.28,29201708,60879.0394,4.4963,11.286,11.286,6.3877,141.4684,110.9135,1.713,8.6301,6.9631,39.8716,0.6,0.5660000000000001,91.3699,92360.6786,4992.7,3.3328,13.4506,6.4366,3.884,4.9691,2816.5047,2608.4,375.0,0.6997,0.2805,0.312,2.9056,25.7472,186.5,179.28,186.5,175.5,1486924.0,-38.233766233766225,-0.4199999999999875,0.2504366520918217,-29.27505897778602,0.4167965570374418,-0.2467252593109777,0.8460167357488451,0.00809121972580641,-1.4771255801955212,-222289.0697454632,0.5,-2.1089959539513608e-07,-0.03541349408929971,182.12700000000004,195.17200000000008,169.082
11/30/2007,171.48,24439668,60879.0394,4.3007,11.286,11.286,6.3877,141.4684,110.9135,1.713,8.6301,6.9631,39.8716,0.6,0.5660000000000001,91.3699,89353.9733,4992.7,3.3328,12.8653,6.4366,4.0607,5.1952,2816.5047,2608.4,375.0,0.6997,0.2921,0.312,2.7792,24.627,167.0,171.48,175.0,166.0,884538.0,-35.23012552301261,15.0,0.5690531562235339,36.68852932566357,0.2440503748700948,2.613092157940315,-8.704225445042036,-0.09423220872489974,-1.3534169631209358,188462.8453894889,0.42857142857142855,1.1814887121114275e-05,-0.09221938822813454,168.2025000000001,177.69000000000008,158.715
12/31/2007,174.48,14787784,60879.0394,4.3759,11.286,11.286,6.3877,141.4684,110.9135,1.713,8.6301,6.9631,39.8716,0.6,0.5660000000000001,91.3699,90981.5532,4992.7,3.3328,13.0904,6.4366,3.9909,5.1058,2816.5047,2608.4,375.0,0.6997,0.2857,0.312,2.8278,25.0578,176.5,174.48,180.5,173.75,572200.0,-76.98461538461542,1.549999999999983,0.7228577487267964,11.45893871835104,0.3160259645541203,-0.434575074895804,3.3800457547626506,0.02753307642197844,-1.318085742196345,-99782.20851808619,0.42857142857142855,2.1040745647512893e-05,0.0589383460482298,175.55083333333337,184.56283333333354,166.53883333333334
1/31/2008,173.18,33526472,60879.0394,4.3433,11.286,11.286,6.3877,141.4684,110.9135,1.713,8.6301,6.9631,39.8716,0.6,0.5660000000000001,91.3699,90428.0028,4992.7,3.3328,12.9929,6.4366,4.0208,5.1442,2816.5047,2608.4,375.0,0.6997,0.2878,0.312,2.8068,24.8711,168.25,173.18,180.0,163.0,764846.0,-44.963855421686745,-26.799999999999986,0.344840944710482,-47.52341496335629,0.5184372838185632,3.7121830897591512,-2.306984420920932,-0.09747824379404632,-0.6485971791485234,-54716.753742737266,0.42857142857142855,-6.806082810990681e-06,-0.08956432359477308,183.2985,199.2900000000001,167.30700000000004
2/29/2008,167.5,17326896,60879.0394,4.2010000000000005,11.286,11.286,6.3877,141.4684,110.9135,1.713,8.6301,6.9631,39.8716,0.6,0.5660000000000001,91.3699,88011.5423,4992.7,3.3328,12.5671,6.4366,4.1571,5.3185,2816.5047,2608.4,375.0,0.6997,0.2976,0.312,2.7148,24.0554,161.9,167.5,170.0,157.5,3367310.0,-20.081967213114773,10.199999999999989,0.607422220240334,20.708066112708774,0.34023050978148844,4.3059902552872416,-14.473626682597844,-0.1452642665722115,-6.327692570263583,713224.8116730091,0.5714285714285714,2.0421414935992656e-06,-0.15696808888414654,162.41616666666667,170.80516666666676,154.02716666666666
3/31/2008,131.07,17090354,57580.1349,2.5729,7.3244,7.3244,5.1214,69.8887,47.2477,2.1315,17.0609,3.2311,50.9448,1.0,0.6992,82.9391,66474.6854,5127.8,2.0676,20.3702,7.5141,2.4651,3.4536,3062.5249,2574.9,439.3,1.011,0.281,0.3771,2.9712,40.5651,128.15,131.07,132.9,128.15,1132076.0,-58.658823529411784,-20.879999999999995,0.4399256522926783,-61.583512576686786,0.2602548703746517,8.150055851252233,-20.791373495876954,-0.28691635127985304,-4.4325608088939745,-83830.69712697045,0.2857142857142857,-2.7093493003982313e-05,-0.2851796648161462,142.7255,152.88650000000013,132.5645
4/30/2008,161.25,13532928,57580.1349,3.1652,7.3244,7.3244,5.1214,69.8887,47.2477,2.1315,17.0609,3.2311,50.9448,1.0,0.6992,82.9391,79323.4422,5127.8,2.0676,25.0597,7.5141,2.0038,2.8073,3062.5249,2574.9,439.3,1.011,0.2284,0.3771,3.6553,49.9056,167.45,161.25,167.45,159.5,1426090.0,-26.98176404912541,9.050000000000011,0.6870413438006603,67.20670537491229,0.3306166625666767,-4.4622385647373335,13.368114316515086,0.16306093926461782,3.0953801530177403,-214369.0682732816,0.5714285714285714,3.599228901044593e-05,0.29868106583883586,151.49183333333332,161.71233333333348,141.27133333333333
5/30/2008,170.75,20537480,57580.1349,3.3517,7.3244,7.3244,5.1214,69.8887,47.2477,2.1315,17.0609,3.2311,50.9448,1.0,0.6992,82.9391,83368.6184,5127.8,2.0676,26.535999999999998,7.5141,1.8923,2.6511,3062.5249,2574.9,439.3,1.011,0.2157,0.3771,3.8706,52.8458,172.32,170.75,174.45,167.25,468516.0,-56.944444444444436,-4.030000000000001,0.5364600249894614,1.470882524150958,0.2081008737653209,-3.538621887595724,17.775623746633514,0.18329047148991265,-0.5622160212145016,-44612.225790702585,0.5,-8.756481460979677e-06,0.14163995425863848,170.6961666666666,180.07966666666675,161.31266666666662
6/30/2008,141.15,9253996,57580.1349,2.7706,7.3244,7.3244,5.1214,69.8887,47.2477,2.1315,17.0609,3.2311,50.9448,1.0,0.6992,82.9391,72482.9465,5127.8,2.0676,21.9359,7.5141,2.2891,3.2071,3062.5249,2574.9,439.3,1.011,0.2537,0.3771,3.1996,43.6848,148.25,141.15,149.2,137.0,373796.0,-87.37834549878343,-11.0,0.19998852684481525,-131.17262987496227,0.42945682863560575,5.174411171010803,-10.827500016854492,-0.17789954220764526,-8.90716108333855,-23879.667557142457,0.5,-1.7943067581371208e-05,-0.1752093341881489,155.42649999999998,166.54100000000008,144.31199999999995
7/31/2008,170.0,13410188,57580.1349,3.3369,7.3244,7.3244,5.1214,69.8887,47.2477,2.1315,17.0609,3.2311,50.9448,1.0,0.6992,82.9391,85118.7042,5127.8,2.0676,26.4195,7.5141,1.9007,2.6628,3062.5249,2574.9,439.3,1.011,0.2106,0.3771,3.8536,52.6137,164.48,170.0,172.65,160.0,1345640.0,-10.588235294117649,29.050000000000008,0.7371976747601342,115.86420964359577,0.4275300668596427,-4.368086938275269,3.4455419356318795,0.14859515291753594,40.57124882510029,306422.5452977568,0.6428571428571429,4.11424129965624e-06,0.1821963408507554,146.3961666666667,156.04016666666672,136.75216666666668
8/29/2008,167.95,20929318,57580.1349,3.2967,7.3244,7.3244,5.1214,69.8887,47.2477,2.1315,17.0609,3.2311,50.9448,1.0,0.6992,82.9391,84220.8427,5127.8,2.0676,26.1009,7.5141,1.9239,2.6953,3062.5249,2574.9,439.3,1.011,0.2132,0.3771,3.8071,51.9792,163.28,167.95,168.43,163.28,316490.0,-41.45077720207255,-6.200000000000018,0.5752762036795689,-13.292093815181026,0.25455659904465616,-1.237685715832555,10.67603947988501,0.060372810258303225,-1.0650967494631485,80808.16177747826,0.42857142857142855,-8.535824545206929e-06,0.025507330263564446,168.06566666666663,175.93366666666668,160.19766666666675
9/30/2008,154.78,24409954,57580.1349,3.0381,7.3244,7.3244,5.1214,69.8887,47.2477,2.1315,17.0609,3.2311,50.9448,1.0,0.6992,82.9391,78492.5397,5127.8,2.0676,24.0534,7.5141,2.0876,2.9247,3062.5249,2574.9,439.3,1.011,0.2312,0.3771,3.5085,47.9032,150.0,154.78,157.2,141.0,1054402.0,-53.28813559322033,-13.72,0.2425118179422936,-107.68664812942549,0.29559073848077466,2.321623356339444,-6.693112878369662,-0.13075436017510453,-3.967652561620639,328608.737164235,0.2857142857142857,-2.7173339633415523e-05,-0.09801799745138072,161.45916666666662,170.34316666666672,152.57516666666675
10/31/2008,106.2,33009782,57580.1349,2.0846,7.3244,7.3244,5.1214,69.8887,47.2477,2.1315,17.0609,3.2311,50.9448,1.0,0.6992,82.9391,57204.4746,5127.8,2.0676,16.5044,7.5141,3.0425,4.2625,3062.5249,2574.9,439.3,1.011,0.337,0.3771,2.4074,32.8681,92.0,106.2,116.0,80.25,1606662.0,-27.719298245614038,9.549999999999997,0.51607742687753,-19.78037398005221,0.4659737295042508,15.656307540257645,-45.36686541345189,-0.3771646651844599,6.353153215769076,121375.2285861436,0.42857142857142855,4.053390985687062e-05,-0.6191679993347456,106.56783333333333,121.26733333333344,91.86833333333341
11/28/2008,81.3,7518072,57580.1349,1.5958,7.3244,7.3244,5.1214,69.8887,47.2477,2.1315,17.0609,3.2311,50.9448,1.0,0.6992,82.9391,46345.1518,5127.8,2.0676,12.6347,7.5141,3.9743,5.568,3062.5249,2574.9,439.3,1.011,0.4395,0.3771,1.8429,25.1617,80.05,81.3,87.5,79.1,184135.0,-92.38754325259515,-15.600000000000007,0.29760894438514063,-119.68342693509935,0.276871673410896,7.161447781005876,-19.480761803592483,-0.17826763485491054,-1.45782656961498,-58580.07041503918,0.35714285714285715,-4.697979927755516e-05,-0.1154723319825101,94.66416666666666,107.55166666666672,81.77666666666677
12/31/2008,108.05,13650714,57580.1349,2.1209,7.3244,7.3244,5.1214,69.8887,47.2477,2.1315,17.0609,3.2311,50.9448,1.0,0.6992,82.9391,58085.9511,5127.8,2.0676,16.7919,7.5141,2.9904,4.1895,3062.5249,2574.9,439.3,1.011,0.3307,0.3771,2.4493,33.4406,103.25,108.05,109.8,103.25,117696.0,-34.21875000000001,18.099999999999994,0.5135394105464722,52.889387333167896,0.19606569740024685,-3.5734270746769994,21.094338303067342,0.14931955705932745,-0.3333454045957588,-15332.268768922457,0.7142857142857143,-2.2259738756965827e-05,0.39094834357223057,98.3183333333333,106.9933333333334,89.64333333333343
1/30/2009,93.95,8160851,57580.1349,1.8442,7.3244,7.3244,5.1214,69.8887,47.2477,2.1315,17.0609,3.2311,50.9448,1.0,0.6992,82.9391,51897.3056,5127.8,2.0676,14.6007,7.5141,3.4392,4.8183,3062.5249,2574.9,439.3,1.011,0.3803,0.3771,2.1297,29.0768,92.3,93.95,97.5,89.15,349936.0,-69.02654867256636,-12.399999999999993,0.2607923300695795,-80.26517259257139,0.3569017127116071,2.9865384036457097,1.3620985177894074,-0.12981837034950627,-0.5318374652946071,-15926.548608101497,0.35714285714285715,-3.321521483838376e-05,-0.15275161110296884,103.64749999999997,112.61250000000015,94.68250000000008
2/27/2009,88.45,8717669,57580.1349,1.7362,7.3244,7.3244,5.1214,69.8887,47.2477,2.1315,17.0609,3.2311,50.9448,1.0,0.6992,82.9391,49483.3117,5127.8,2.0676,13.7459,7.5141,3.6531,5.1179,3062.5249,2574.9,439.3,1.011,0.40399999999999997,0.3771,2.005,27.3746,93.5,88.45,93.5,85.7,373472.0,-85.39603960396039,-5.649999999999992,0.3728831045671089,-102.86930954296528,0.30141452734252,2.3612260548967043,-8.388069539055637,-0.13213666875803565,-0.4292883498414316,-44316.78246587757,0.35714285714285715,-6.172603499584468e-05,-0.0692452352709579,94.84583333333332,101.15833333333349,88.53333333333346
3/31/2009,98.25,13824560,43187.1206,1.6157,9.4931,9.4931,7.7611,77.0363,56.428000000000004,2.5322,14.469000000000001,10.3736,60.8094,1.5,0.8176,85.531,58354.91,8153.2,1.8565,5.2956,13.9563,10.5584,14.4209,5842.2737,4558.7,879.1,1.0415,0.4792,0.34,0.8991,9.4712,94.3,98.25,100.0,94.3,1858985.0,-10.0,23.200000000000006,0.6999997681740961,76.68185144424379,0.4379236254378136,-1.8648794050812825,3.6155024695450337,0.08876112577715156,1.8897179813724831,205717.9470984907,0.6428571428571429,3.0235263709350646e-05,0.16945133767958134,87.76749999999998,94.3950000000002,81.14000000000007
4/29/2009,114.95,19571538,43187.1206,1.8903,9.4931,9.4931,7.7611,77.0363,56.428000000000004,2.5322,14.469000000000001,10.3736,60.8094,1.5,0.8176,85.531,65684.6734,8153.2,1.8565,6.1957,13.9563,9.0245,12.3258,5842.2737,4558.7,879.1,1.0415,0.4096,0.34,1.0519,11.081,119.9,114.95,119.9,113.0,2536289.0,-58.188585607940425,9.650000000000006,0.5532205468983874,7.742386647563385,0.4013576140004385,-6.814454658111758,40.37434659109732,0.3151145963316545,-3.3007479482465665,-384300.10126544273,0.42857142857142855,-1.838309875143782e-05,0.4880111495174184,114.67416666666668,124.47916666666686,104.8691666666668
5/29/2009,163.9,46269252,43187.1206,2.6953,9.4931,9.4931,7.7611,77.0363,56.428000000000004,2.5322,14.469000000000001,10.3736,60.8094,1.5,0.8176,85.531,87169.2195,8153.2,1.8565,8.8341,13.9563,6.3292,8.6446,5842.2737,4558.7,879.1,1.0415,0.2873,0.34,1.4999,15.7997,163.7,163.9,172.5,155.0,14106455.0,-17.084639498432608,43.95,0.7277724129011321,82.69575317997982,0.4009772419596828,-13.282160266352207,41.23163117489647,0.3662589979194302,-1.3545538956138006,-238033.1186212873,0.6428571428571429,0.0014556096075801913,0.5168026407754078,140.2625,152.74000000000018,127.78500000000008
6/30/2009,142.75,47441527,43187.1206,2.3475,9.4931,9.4931,7.7611,77.0363,56.428000000000004,2.5322,14.469000000000001,10.3736,60.8094,1.5,0.8176,85.531,77886.3155,8153.2,1.8565,7.6941,13.9563,7.267,9.9254,5842.2737,4558.7,879.1,1.0415,0.3298,0.34,1.3063,13.7609,154.5,142.75,155.05,141.0,1856575.0,-81.76020408163265,-29.550000000000008,0.3416596616140122,-76.33170022567113,0.2882997675585819,0.2909603069141724,7.588641813302889,-0.0069816162725282035,1.0881724526306458,-441694.8754199801,0.35714285714285715,-1.4046078526804602e-05,-0.08046908048124575,157.60666666666677,169.05166666666685,146.16166666666672
7/31/2009,171.4,32054960,43187.1206,2.8186,9.4931,9.4931,7.7611,77.0363,56.428000000000004,2.5322,14.469000000000001,10.3736,60.8094,1.5,0.8176,85.531,90461.0294,8153.2,1.8565,9.2383,13.9563,6.0523,8.2664,5842.2737,4558.7,879.1,1.0415,0.2747,0.34,1.5685,16.5227,172.0,171.4,177.5,170.0,1466208.0,-15.080346106304068,31.40000000000001,0.7575617464968681,114.01262496695892,0.37868821393298463,-5.745442677940588,6.137418662800758,0.187476822499067,-4.8698532506868215,-441487.1675548867,0.7142857142857143,1.264912563942831e-05,0.20185533976849207,153.34750000000003,162.01500000000019,144.6800000000001
8/31/2009,169.1,36837980,43187.1206,2.7808,9.4931,9.4931,7.7611,77.0363,56.428000000000004,2.5322,14.469000000000001,10.3736,60.8094,1.5,0.8176,85.531,89451.541,8153.2,1.8565,9.1144,13.9563,6.1346,8.3788,5842.2737,4558.7,879.1,1.0415,0.2784,0.34,1.5475,16.301,166.0,169.1,172.4,162.1,2042099.0,-30.449826989619414,17.150000000000006,0.66620774172462,43.80284597907299,0.2754674883087531,-1.626323975344263,3.7365208499008977,0.047718784532847336,-4.348634600017888,298382.7466481249,0.5714285714285714,5.372490972837047e-06,-0.017490510913231543,162.94333333333338,173.01333333333355,152.8733333333334
9/30/2009,165.85,33255492,43187.1206,2.7274,9.4931,9.4931,7.7611,77.0363,56.428000000000004,2.5322,14.469000000000001,10.3736,60.8094,1.5,0.8176,85.531,88025.0901,8153.2,1.8565,8.9392,13.9563,6.2548,8.543,5842.2737,4558.7,879.1,1.0415,0.2839,0.34,1.5177,15.9877,165.2,165.85,167.4,164.0,1017541.0,-45.84382871536523,2.4000000000000057,0.6242820153307779,-3.478320000821343,0.2611809617800247,-0.20073418030423795,-0.055123783751237436,0.009933521585400456,-1.853359517259621,306389.7921812909,0.42857142857142855,2.6313001045683185e-06,0.005584334499719479,165.9141666666667,172.5591666666669,159.26916666666668
10/30/2009,143.85,44382996,43187.1206,2.3656,9.4931,9.4931,7.7611,77.0363,56.428000000000004,2.5322,14.469000000000001,10.3736,60.8094,1.5,0.8176,85.531,78369.1143,8153.2,1.8565,7.7534,13.9563,7.2114,9.8495,5842.2737,4558.7,879.1,1.0415,0.3273,0.34,1.3164,13.8669,142.0,143.85,150.0,141.0,1858322.0,-75.92295345104336,-19.30000000000001,0.31008966823448,-105.98669985097929,0.4660932564412618,5.468748557374852,-8.313186240474488,-0.2689115470337773,6.490755220670496,347019.5710842389,0.21428571428571427,-4.392960395583925e-06,-0.15285475990953876,160.40000000000006,167.4950000000002,153.30500000000006
